Name	Scenario
karen	automatically
karen	smiling
karen	patting peggy on the head
karen	hurriedly, as a bell rings off stage
karen	impatiently
karen	wearily
karen	enters right
karen	smiling
karen	laughs
karen.	looks at her watch
karen	laughs
karen	cheerfully
karen.	thoughtfully
karen.	to girls
karen	offstage
karen	stops when she sees him, puts her hand over her eyes
karen	incredulously
karen	wildly
karen	goes to mrs. tilford
karen	gets up
karen	angrily
karen	with violence
karen	gently
karen	almost in a whisper
karen.	they stand looking at each other
karen	softly
karen	unable any longer to stand the stare
karen	vaguely
karen	without conviction
karen	laughs
karen	opening door
karen	slowly
karen.	when there is no answer
karen.	after a moment
karen	as though she is finishing the sentence for him
karen.	suddenly
karen	puts her hand over his mouth
karen	puzzled
karen	smiles
karen	drawing back
karen	a moment after he has gone
karen	irritably
karen	as a child would say it
karen	only half listening
karen	listlessly
karen	vaguely
karen	for the first time looks up
karen	puts her hands over her ears
karen	deliberately
karen	tensely
karen	carefully
karen	in a shaken, uncertain tone
karen	crying
karen	in a toneless voice
karen	without turning
karen	wearily
karen	turns slowly, mechanically
karen	bitterly
karen	stares at her, shudders
karen	smiles
karen	smiles
karen.	karen shakes her head
karen	suddenly
