Name	Scenario
martha	nodding
martha	laughs
martha	bitterly
martha	after a moment
martha	goes to her, affectionately pats her head
martha	looking at her
martha	nervously playing with a book on the table
martha	after a pause
martha	not turning from window
martha	turning from window
martha	impatiently
martha	over her shoulder
martha	laughs
martha	makes a motion of distaste
martha.	after a moment
martha.	impatiently
martha	her voice is tense and the previous attitude of good-natured irritation is gone
martha	turning to face the children
martha	thoughtfully
martha	sighs
martha	after a second
martha	pushing his hands from her shoulders
martha	to karen, as she wipes her eyes
martha	with great force to mrs. tilford
martha	violently
martha	softly, as though to herself
martha	scornfully imitating her
martha	slowly
martha	looks at him
martha	her lips barely moving
martha	to cardin
martha	her face distorted, turns to mrs. tilford
martha	laughs
martha	turns again to lie on her side
martha.	after a moment
martha	turns over, stares at her
martha	slowly gets up
martha	laughs
martha	gently
martha	gently
martha	smiles
martha	picking up grocery box, she starts for door
martha	goes to lamp, lights it
martha.	slowly and carefully
martha.	quickly, walks to karen
martha	tensely
martha	automatically
martha	bitterly
martha	as though she were talking to herself
